# # k[h/Mpc], pk @ z=0.341, wmap paramters
1.299999999999999920e-05 6.000431631274587119e+01
1.304730693365612618e-05 6.021457637240098393e+01
1.309478601700239961e-05 6.042557322573228618e+01
1.314243787649066873e-05 6.063730945220584090e+01
1.319026314085243137e-05 6.084978764022213937e+01
1.323826244110713482e-05 6.106301038722514107e+01
1.328643641057050730e-05 6.127698029973433336e+01
1.333478568486290630e-05 6.149169999337582482e+01
1.338331090191771095e-05 6.170717209291438365e+01
1.343201270198973821e-05 6.192339923228422549e+01
1.348089172766367924e-05 6.214038405462316206e+01
1.352994862386260367e-05 6.235812921230240846e+01
1.357918403785643835e-05 6.257663736695991474e+01
1.362859861927053260e-05 6.279591118953239715e+01
1.367819302009420812e-05 6.301595336028766070e+01
1.372796789468938350e-05 6.323676656885745473e+01
1.377792389979918853e-05 6.345835351426928383e+01
1.382806169455664799e-05 6.368071690497987447e+01
1.387838194049335529e-05 6.390385945890825070e+01
1.392888530154822566e-05 6.412778390346684887e+01
1.397957244407623587e-05 6.435249297559798265e+01
1.403044403685722829e-05 6.457798942180319557e+01
1.408150075110473696e-05 6.480427599817902262e+01
1.413274326047482722e-05 6.503135547045002340e+01
1.418417224107500992e-05 6.525923061400172287e+01
1.423578837147313015e-05 6.548790421391436212e+01
1.428759233270635765e-05 6.571737906499784287e+01
1.433958480829013319e-05 6.594765797182293454e+01
1.439176648422722503e-05 6.617874374876143406e+01
1.444413804901674475e-05 6.641063922048515167e+01
1.449670019366326640e-05 6.664334722251807364e+01
1.454945361168591009e-05 6.687687060042678411e+01
1.460239899912751871e-05 6.711121220973504364e+01
1.465553705456382797e-05 6.734637491595653103e+01
1.470886847911268377e-05 6.758236159463046988e+01
1.476239397644330535e-05 6.781917513135806530e+01
1.481611425278555015e-05 6.805681842183474828e+01
1.487003001693925151e-05 6.829529437188911345e+01
1.492414198028355296e-05 6.853460589751395560e+01
1.497845085678631367e-05 6.877475592490682743e+01
1.503295736301350882e-05 6.901574739050111873e+01
1.508766221813869607e-05 6.925758324100503671e+01
1.514256614395250738e-05 6.950026643343464627e+01
1.519766986487215609e-05 6.974379993515402987e+01
1.525297410795102032e-05 6.998818672390558504e+01
1.530847960288820930e-05 7.023342978785235857e+01
1.536418708203820938e-05 7.047953212561007774e+01
1.542009728042053688e-05 7.072649674628608807e+01
1.547621093572944668e-05 7.097432666951436886e+01
1.553252878834366136e-05 7.122302492549417252e+01
1.558905158133612890e-05 7.147259455502452852e+01
1.564578006048383143e-05 7.172303860954421850e+01
1.570271497427765139e-05 7.197436015116602448e+01
1.575985707393220731e-05 7.222656225271533970e+01
1.581720711339578781e-05 7.247964799776917744e+01
1.587476584936029576e-05 7.273362048069031971e+01
1.593253404127123652e-05 7.298848280773019326e+01
1.599051245133772644e-05 7.324423810101288268e+01
1.604870184454256239e-05 7.350088949511417979e+01
1.610710298865231167e-05 7.375844013565512114e+01
1.616571665422743230e-05 7.401689317934153678e+01
1.622454361463245438e-05 7.427625179400392597e+01
1.628358464604616820e-05 7.453651915863424904e+01
1.634284052747189369e-05 7.479769846342975370e+01
1.640231204074772269e-05 7.505979290982801899e+01
1.646199997055685618e-05 7.532280571054965890e+01
1.652190510443795165e-05 7.558674008963899382e+01
1.658202823279552798e-05 7.585159928250126882e+01
1.664237014891036372e-05 7.611738653594561299e+01
1.670293164894999342e-05 7.638410510822306776e+01
1.676371353197919737e-05 7.665175826907001522e+01
1.682471659997055555e-05 7.692034929974661850e+01
1.688594165781501192e-05 7.718988149307807589e+01
1.694738951333250968e-05 7.746035815349621600e+01
1.700906097728264359e-05 7.773178259708120663e+01
