2.000000000000000000e+00 2.466142502393222102e+01 2.481481943150307146e+01
2.002487886620377910e+00 2.466045465643421508e+01 2.481423801963935816e+01
2.004978868030673489e+00 2.465948292890656646e+01 2.481365613334928000e+01
2.007472948080629926e+00 2.465850979770215190e+01 2.481307378428057575e+01
2.009970130624779916e+00 2.465753532362430178e+01 2.481249102138658458e+01
2.012470419522449649e+00 2.465655945817532668e+01 2.481190780126365070e+01
2.014973818637767700e+00 2.465558222489557139e+01 2.481132415842382244e+01
2.017480331839667684e+00 2.465460363489550843e+01 2.481074010052704537e+01
2.019989963001897149e+00 2.465362365780611142e+01 2.481015560053494085e+01
2.022502716003022005e+00 2.465264229778124516e+01 2.480957066775849995e+01
2.025018594726432752e+00 2.465165956739851438e+01 2.480898530472316921e+01
2.027537603060350690e+00 2.465067546783420127e+01 2.480839952621441924e+01
2.030059744897833696e+00 2.464969002923864139e+01 2.480781335835360579e+01
2.032585024136782881e+00 2.464870312862982615e+01 2.480722668653236695e+01
2.035113444679947925e+00 2.464771487619655232e+01 2.480663961466773060e+01
2.037645010434932846e+00 2.464672525805344705e+01 2.480605207074926000e+01
2.040179725314202663e+00 2.464573423642245587e+01 2.480546418068858827e+01
2.042717593235090057e+00 2.464474176015858475e+01 2.480487578220352418e+01
2.045258618119800254e+00 2.464374794471260088e+01 2.480428697669341886e+01
2.047802803895416357e+00 2.464275271354457786e+01 2.480369774745503975e+01
2.050350154493907784e+00 2.464175615068574032e+01 2.480310812587798353e+01
2.052900673852135149e+00 2.464075823978679836e+01 2.480251815672858484e+01
2.055454365911855596e+00 2.463975888733962449e+01 2.480192766696713491e+01
2.058011234619729901e+00 2.463875809752806134e+01 2.480133673211448553e+01
2.060571283927328690e+00 2.463775590585828468e+01 2.480074536696896459e+01
2.063134517791136879e+00 2.463675223467225450e+01 2.480015351212933794e+01
2.065700940172563005e+00 2.463574720222017689e+01 2.479956127090687801e+01
2.068270555037941438e+00 2.463474080344029105e+01 2.479896871673113168e+01
2.070843366358541715e+00 2.463373296317680783e+01 2.479837560070469138e+01
2.073419378110572087e+00 2.463272371892739088e+01 2.479778210156653984e+01
2.075998594275188402e+00 2.463171304291064345e+01 2.479718816045926388e+01
2.078581018838498551e+00 2.463070087122797958e+01 2.479659376865555842e+01
2.081166655791568232e+00 2.462968739879679703e+01 2.479599888142279696e+01
2.083755509130428063e+00 2.462867249293617533e+01 2.479540366761738213e+01
2.086347582856080241e+00 2.462765613246503094e+01 2.479480799598414009e+01
2.088942880974502092e+00 2.462663834556391862e+01 2.479421201911698347e+01
2.091541407496657179e+00 2.462561924189991913e+01 2.479361552156636606e+01
2.094143166438495740e+00 2.462459855606742209e+01 2.479301846261204645e+01
2.096748161820964462e+00 2.462357648914499464e+01 2.479242107902542713e+01
2.099356397670011809e+00 2.462255301026497278e+01 2.479182328476392883e+01
2.101967878016595570e+00 2.462152807596235604e+01 2.479122506320390329e+01
2.104582606896686414e+00 2.462050176746440400e+01 2.479062640524716343e+01
2.107200588351275439e+00 2.461947396992397330e+01 2.479002731462253095e+01
2.109821826426380387e+00 2.461844471938092127e+01 2.478942779073106095e+01
2.112446325173054085e+00 2.461741397515124419e+01 2.478882784632542524e+01
2.115074088647386219e+00 2.461638188421109064e+01 2.478822745398628058e+01
2.117705120910512662e+00 2.461534829173806571e+01 2.478762662233048530e+01
2.120339426028622132e+00 2.461431325714638518e+01 2.478702536345734941e+01
2.122977008072959748e+00 2.461327676467599090e+01 2.478642369362529152e+01
2.125617871119836799e+00 2.461223880690266697e+01 2.478582158345967201e+01
2.128262019250634296e+00 2.461119941636918540e+01 2.478521902169325486e+01
2.130909456551810077e+00 2.461015854097611211e+01 2.478461604156736087e+01
2.133560187114905915e+00 2.460911621782171821e+01 2.478401262229116497e+01
2.136214215036552400e+00 2.460807244076014655e+01 2.478340879637520899e+01
2.138871544418477377e+00 2.460702722358913519e+01 2.478280452438680825e+01
2.141532179367509947e+00 2.460598051626576321e+01 2.478219983719469610e+01
2.144196123995588454e+00 2.460493233840364624e+01 2.478159474228763415e+01
2.146863382419764932e+00 2.460388273433063588e+01 2.478098919363954522e+01
2.149533958762215757e+00 2.460283156912741376e+01 2.478038327640663141e+01
2.152207857150241654e+00 2.460177894006123722e+01 2.477977670809232791e+01
2.154885081716279682e+00 2.460072489714664457e+01 2.477916987706030127e+01
2.157565636597905900e+00 2.459966948833010392e+01 2.477856263489172406e+01
2.160249525937845139e+00 2.459861241572857438e+01 2.477795490403294210e+01
2.162936753883974106e+00 2.459755391950235648e+01 2.477734682805109756e+01
2.165627324589329827e+00 2.459649394869537886e+01 2.477673826741743213e+01
2.168321242212114974e+00 2.459543247669839516e+01 2.477612928165627437e+01
2.171018510915704525e+00 2.459436946452015960e+01 2.477551977137449057e+01
2.173719134868654201e+00 2.459330502648454342e+01 2.477490992971099359e+01
2.176423118244703581e+00 2.459223908617580889e+01 2.477429963257779377e+01
2.179130465222784530e+00 2.459117172382699223e+01 2.477368892130767719e+01
2.181841179987026980e+00 2.459010285245582139e+01 2.477307786008199386e+01
2.184555266726766032e+00 2.458903242467635764e+01 2.477246629646564813e+01
2.187272729636548618e+00 2.458796050633194596e+01 2.477185427573637355e+01
2.189993572916138387e+00 2.458688708841329174e+01 2.477124184005066354e+01
2.192717800770524139e+00 2.458581218466134288e+01 2.477062900570431481e+01
2.195445417409924715e+00 2.458473579038441770e+01 2.477001568165246681e+01
2.198176427049796100e+00 2.458365782630558982e+01 2.476940197221284734e+01
2.200910833910839415e+00 2.458257839772665321e+01 2.476878778189099961e+01
2.203648642219004916e+00 2.458149744774637924e+01 2.476817317637712179e+01
2.206389856205499989e+00 2.458041497002194120e+01 2.476755812695973091e+01
2.209134480106795362e+00 2.457933108911472786e+01 2.476694271173890272e+01
2.211882518164631772e+00 2.457824553105451315e+01 2.476632690898220091e+01
2.214633974626026180e+00 2.457715852560316350e+01 2.476571059328988511e+01
2.217388853743278876e+00 2.457606999688225002e+01 2.476509384985895323e+01
2.220147159773980139e+00 2.457497988753028295e+01 2.476447661189646965e+01
2.222908896981015570e+00 2.457388827183329028e+01 2.476385901992943062e+01
2.225674069632574525e+00 2.457279516060756208e+01 2.476324098265006768e+01
2.228442682002154562e+00 2.457170056018251358e+01 2.476262255869811568e+01
2.231214738368570316e+00 2.457060437261706909e+01 2.476200365068364917e+01
2.233990243015958388e+00 2.456950663835855764e+01 2.476138428704269856e+01
2.236769200233785337e+00 2.456840741489457614e+01 2.476076456966805850e+01
2.239551614316852568e+00 2.456730663142716153e+01 2.476014438032473208e+01
2.242337489565304764e+00 2.456620429982104170e+01 2.475952374739379280e+01
2.245126830284635222e+00 2.456510042705013319e+01 2.475890269091143026e+01
2.247919640785692952e+00 2.456399507269486548e+01 2.475828125689808346e+01
2.250715925384690230e+00 2.456288807351040404e+01 2.475765931539721620e+01
2.253515688403207928e+00 2.456177962509569923e+01 2.475703701021485514e+01
2.256318934168202617e+00 2.456066958223087582e+01 2.475641423811291730e+01
2.259125667012013672e+00 2.455955792073201494e+01 2.475579098690896984e+01
2.261935891272369048e+00 2.455844480494304349e+01 2.475516738575804254e+01
2.264749611292393272e+00 2.455733007626084330e+01 2.475454329741558723e+01
2.267566831420613216e+00 2.455621379913812063e+01 2.475391880525035049e+01
2.270387556010964758e+00 2.455509595790579169e+01 2.475329387241734125e+01
2.273211789422800333e+00 2.455397654403516583e+01 2.475266853245419441e+01
2.276039536020895593e+00 2.455285559103940329e+01 2.475204269754217989e+01
2.278870800175453848e+00 2.455173295892235075e+01 2.475141645101164301e+01
2.281705586262116725e+00 2.455060891504851384e+01 2.475078976724847024e+01
