# r[Mpc/h], xi1(inv-dist+wa), xi1(gravz=lin+stoch), xi1(advection), xi1(advection-ubar); b(MA)=2, b(MB)=1, MA,MB = 21200000000000.0,1020000000000.0
2.000000000000000000e+00 -1.955697918139568336e-04 -7.721637062551945990e-04 2.843571290019399067e-02 4.286946981149249034e-05 2.770641866375028739e-02 -8.896195348155879964e-04
2.002487886620377910e+00 -1.960851910958817440e-04 -7.706010027170465213e-04 2.842021974114946128e-02 4.303390923029877096e-05 2.769265264766271328e-02 -8.912604320185401382e-04
2.004978868030673489e+00 -1.966395613011490324e-04 -7.691544006484501549e-04 2.838711857802754535e-02 4.317205748931123022e-05 2.766113623486840534e-02 -8.930746203485556136e-04
2.007472948080629926e+00 -1.971934764638854298e-04 -7.676879611517562450e-04 2.835375951707109349e-02 4.331006308437281233e-05 2.762938161900371087e-02 -8.948827627383029119e-04
2.009970130624779916e+00 -1.977489323661556133e-04 -7.661845543823463936e-04 2.832064873703721980e-02 4.344869486945822568e-05 2.759791287752433320e-02 -8.966939275059198885e-04
2.012470419522449649e+00 -1.983071655698134448e-04 -7.647616152874821835e-04 2.828776825218402846e-02 4.358793421714767999e-05 2.756659457111369435e-02 -8.985136767039551137e-04
2.014973818637767700e+00 -1.988654386533121609e-04 -7.633088855851533636e-04 2.825451205674692212e-02 4.372684844893306685e-05 2.753493001961070108e-02 -9.003296017193444410e-04
2.017480331839667684e+00 -1.994255089219964053e-04 -7.618229179131768896e-04 2.822153235365711457e-02 4.386643920165288034e-05 2.750357587494559053e-02 -9.021496579929168648e-04
2.019989963001897149e+00 -1.999867899194581649e-04 -7.604040672895740925e-04 2.818852322018145992e-02 4.400624143305445534e-05 2.747212539432494077e-02 -9.039711569170020113e-04
2.022502716003022005e+00 -2.005486755613720257e-04 -7.589623514120948057e-04 2.815516721807629491e-02 4.414574895764337943e-05 2.744035061562184394e-02 -9.057913699139804979e-04
2.025018594726432752e+00 -2.011116273645240386e-04 -7.574941562332711611e-04 2.812206959799910116e-02 4.428591366606135401e-05 2.740886135543189189e-02 -9.076123710383250881e-04
2.027537603060350690e+00 -2.016723031429568254e-04 -7.560787227176763749e-04 2.808835972285160867e-02 4.442535755771489749e-05 2.737670635769164432e-02 -9.094190686789442200e-04
2.030059744897833696e+00 -2.022393588711842881e-04 -7.546449601696473023e-04 2.805555023179312144e-02 4.456646386546134816e-05 2.734547173548893678e-02 -9.112505321053020451e-04
2.032585024136782881e+00 -2.028073319229683840e-04 -7.531946993469118687e-04 2.802281304662410100e-02 4.470795575016609316e-05 2.731432630302735309e-02 -9.130820114828529276e-04
2.035113444679947925e+00 -2.033720350096025341e-04 -7.518004515268501484e-04 2.798912201621216872e-02 4.484816352775507296e-05 2.728216972821307165e-02 -9.148947457453232134e-04
2.037645010434932846e+00 -2.039406848883428729e-04 -7.503643321373660051e-04 2.795608731707566186e-02 4.498966876575934284e-05 2.725071265370405602e-02 -9.167211752253994102e-04
2.040179725314202663e+00 -2.045101712653707329e-04 -7.489213820472585695e-04 2.792295452262361088e-02 4.513126567455935683e-05 2.721916440625091194e-02 -9.185472903420625933e-04
2.042717593235090057e+00 -2.050818177205316381e-04 -7.475655305639594683e-04 2.788998336089855770e-02 4.527337243988517119e-05 2.718769120277448464e-02 -9.203790267814724712e-04
2.045258618119800254e+00 -2.056540314904663420e-04 -7.461242123426408942e-04 2.785696990659103714e-02 4.541566353529453108e-05 2.715626135778369254e-02 -9.222092078923911336e-04
2.047802803895416357e+00 -2.062247160762689690e-04 -7.446894535218620851e-04 2.782332088659308575e-02 4.555716151739631811e-05 2.712418859458861839e-02 -9.240284492985662576e-04
2.050350154493907784e+00 -2.067959578843924255e-04 -7.433539706143747717e-04 2.778948274810662256e-02 4.569858204392226390e-05 2.709182735953617055e-02 -9.258461290504311743e-04
2.052900673852135149e+00 -2.073694892250382198e-04 -7.419269460285680485e-04 2.775651369272209151e-02 4.584167000201464734e-05 2.706042841669553667e-02 -9.276699827557387647e-04
2.055454365911855596e+00 -2.079471603905059098e-04 -7.405131853578068380e-04 2.772374831102569770e-02 4.598534364137016886e-05 2.702922046930926123e-02 -9.295082203545569806e-04
2.058011234619729901e+00 -2.085261972672061259e-04 -7.391617321781890695e-04 2.769049826317541291e-02 4.612846730485030221e-05 2.699746499830207522e-02 -9.313484346802808388e-04
2.060571283927328690e+00 -2.091043711721146323e-04 -7.377539733383981163e-04 2.765725440693437426e-02 4.627184456586519874e-05 2.696577227816184322e-02 -9.331806657951743434e-04
2.063134517791136879e+00 -2.096836399943525489e-04 -7.363696597595442619e-04 2.762399512104956462e-02 4.641543935360944469e-05 2.693404090064363196e-02 -9.350136548595550925e-04
2.065700940172563005e+00 -2.102641011464609084e-04 -7.350152932350008383e-04 2.759071245848808418e-02 4.655923672465011508e-05 2.690225640197773174e-02 -9.368478261261555320e-04
2.068270555037941438e+00 -2.108469828527065500e-04 -7.336160959896464388e-04 2.755741574459407220e-02 4.670325235825462394e-05 2.687050290096268043e-02 -9.386886366277694040e-04
2.070843366358541715e+00 -2.114288771227491295e-04 -7.322508435491914807e-04 2.752404380561441002e-02 4.684738591798426945e-05 2.683864034798320169e-02 -9.405209017345339670e-04
2.073419378110572087e+00 -2.120108592565737957e-04 -7.309117637470508412e-04 2.749075504765572872e-02 4.699189364816996103e-05 2.680683517755684531e-02 -9.423494168221193410e-04
2.075998594275188402e+00 -2.125980182786765186e-04 -7.295140126438197023e-04 2.745753627199372382e-02 4.713676290775173339e-05 2.677515902225765382e-02 -9.441967752990695299e-04
2.078581018838498551e+00 -2.131828823169647626e-04 -7.281656538424337733e-04 2.742413808565858507e-02 4.728157155764546772e-05 2.674325400337379532e-02 -9.460297699513271199e-04
2.081166655791568232e+00 -2.137674155750510035e-04 -7.268551371048387593e-04 2.739061744500700946e-02 4.742639419977069524e-05 2.671118870210193938e-02 -9.478571415379535327e-04
2.083755509130428063e+00 -2.143564036033674346e-04 -7.254646397615421285e-04 2.735737224915651966e-02 4.757193372490224945e-05 2.667947954311988140e-02 -9.497000988613309505e-04
2.086347582856080241e+00 -2.149462823890491950e-04 -7.241200050023678496e-04 2.732436718655369828e-02 4.771813297683393689e-05 2.664796531452816308e-02 -9.515428008782589927e-04
2.088942880974502092e+00 -2.155364916179913022e-04 -7.228102671632152159e-04 2.729106097851824800e-02 4.786404742581202410e-05 2.661611475878084346e-02 -9.533827644542980546e-04
2.091541407496657179e+00 -2.161273457579348828e-04 -7.214333699753436042e-04 2.725762395890853063e-02 4.800996680058558703e-05 2.658420055573377377e-02 -9.552213907883965642e-04
2.094143166438495740e+00 -2.167203931809375678e-04 -7.201138542955988703e-04 2.722442165198724062e-02 4.815653654544890328e-05 2.655246433423709071e-02 -9.570655061244762044e-04
2.096748161820964462e+00 -2.173126531129417353e-04 -7.187984299112569692e-04 2.719081888694117183e-02 4.830263404213857486e-05 2.652032309107205457e-02 -9.589019282538606718e-04
2.099356397670011809e+00 -2.179054613295104898e-04 -7.174302738511447982e-04 2.715730696963190166e-02 4.844911846367912960e-05 2.648832581424443583e-02 -9.607365868110235045e-04
