# r[Mpc/h], xi_u\psi[L^2], xi_\psi\psi[L^2]
1.891891891891891930e+02 -7.809456886644446094e-02 -4.361326560697490612e-03
1.901901901901902079e+02 -7.792323037750384374e-02 -4.385227573927646949e-03
1.911911911911911943e+02 -7.775189877793410587e-02 -4.409076139504234174e-03
1.921921921921922092e+02 -7.758059145007820123e-02 -4.432872215357889535e-03
1.931931931931932240e+02 -7.740932912579670533e-02 -4.456615789556106835e-03
1.941941941941942105e+02 -7.723812225210860416e-02 -4.480306596513360280e-03
1.951951951951952253e+02 -7.706699751881297689e-02 -4.503945433995145027e-03
1.961961961961962118e+02 -7.689597345280210772e-02 -4.527531602686068156e-03
1.971971971971972266e+02 -7.672505283211286664e-02 -4.551065423513367576e-03
1.981981981981982130e+02 -7.655425667595874839e-02 -4.574546939165072615e-03
1.991991991991992279e+02 -7.638360747423791897e-02 -4.597976173407260052e-03
2.002002002002002143e+02 -7.621311398949985605e-02 -4.621353136125076408e-03
2.012012012012012292e+02 -7.604279148568630908e-02 -4.644677847477326864e-03
2.022022022022022156e+02 -7.587265407443855025e-02 -4.667950359871411888e-03
2.032032032032032305e+02 -7.570271370464015659e-02 -4.691170750125845702e-03
2.042042042042042169e+02 -7.553298441282609021e-02 -4.714339118961565107e-03
2.052052052052052318e+02 -7.536347776094706741e-02 -4.737455661007632102e-03
2.062062062062062182e+02 -7.519420344418380198e-02 -4.760520190387404482e-03
2.072072072072072331e+02 -7.502517571797874540e-02 -4.783532974056263661e-03
2.082082082082082195e+02 -7.485640885718954085e-02 -4.806493925147606316e-03
2.092092092092092344e+02 -7.468789845183196330e-02 -4.829403717555336671e-03
2.102102102102102208e+02 -7.451967828684256945e-02 -4.852260864069295881e-03
2.112112112112112356e+02 -7.435172849273063989e-02 -4.875067057428051319e-03
2.122122122122122221e+02 -7.418408568207328357e-02 -4.897821894815407653e-03
2.132132132132132369e+02 -7.401674746454098286e-02 -4.920525417271868346e-03
2.142142142142142234e+02 -7.384971968999849701e-02 -4.943177690041487479e-03
2.152152152152152382e+02 -7.368301486928237332e-02 -4.965778814159017666e-03
2.162162162162162247e+02 -7.351664016252169864e-02 -4.988328987566834939e-03
2.172172172172172395e+02 -7.335060546667372672e-02 -5.010828089849210694e-03
2.182182182182182260e+02 -7.318491446682179324e-02 -5.033276453269340187e-03
2.192192192192192408e+02 -7.301957619907373243e-02 -5.055674053513013917e-03
2.202202202202202272e+02 -7.285460017296606361e-02 -5.078021079191030740e-03
2.212212212212212421e+02 -7.268998449039758281e-02 -5.100317658844063552e-03
2.222222222222222285e+02 -7.252574597137190215e-02 -5.122563946706453798e-03
